【暁山瑞希 - 2星】

角色: 暁山瑞希
分类: 2星
数量: 10

---- カードID | 実装日 | カード名 | レアリティ | 属性 | スキル | 関連イベント | 特訓前画像 | 特訓後画像 ----
78 | 2020-09-29 | 25時、ナイトコードで。 | 2 | cool | 見てよこの出来ばえ！ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no002/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no002/card_after_training.png
179 | 2021-02-18 | トラスト ユー | 2 | mysterious | 頼ってくれてもいいんだよ | 満たされないペイルカラー | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no007/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no007/card_after_training.png
258 | 2021-07-20 | サマーナイトフェスティバル | 2 | happy | 諦めない強さを | 夏祭り、鳴り響く音は | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no011/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no011/card_after_training.png
401 | 2022-03-20 | ３人だけの夜 | 2 | pure | 変化に寄り添って | 空白のキャンバスに描く私は | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no016/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no016/card_after_training.png
658 | 2023-05-31 | 噂の彼女に思いを馳せて | 2 | cute | ターゲット確認！　出動！ | 隣に立つ、優しいあなたへ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no025/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no025/card_after_training.png
743 | 2023-09-29 | Brand New Style | 2 | cute | 友情のキューピッド？ |  | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no030/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no030/card_after_training.png
907 | 2024-04-10 | キミに食べてほしい味 | 2 | cool | やっぱり似たものきょうだいだよね | Knowing the Unseen | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no034/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no034/card_after_training.png
991 | 2024-08-31 | ハッピー肝試しを目指して！ | 2 | happy | いつかは全身コーディネート♪ | わんだほら～！？な肝だめし！ | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no037/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no037/card_after_training.png
1143 | 2025-03-20 | “みんな”で打ち上げ | 2 | cute | がんばったで賞をキミに | Unreliable Notes | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no043/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no043/card_after_training.png
1426 | 2026-07-09 | みんなとなら、どこだって | 2 | pure | シロップはオリジナルブレンド♪ | 褪せない今を、彩って | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no054/card_normal.png | https://storage.sekai.best/sekai-jp-assets/character/member/res020_no054/card_after_training.png
